stn_id,long_name,short_name,,lon,lat,elev_m,alert,critical,disaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000086033,Bahia Negra,BNE,,-58.1,-20.14,82,5,5.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000086134,Concepción,CON,,-57.26,-23.26,75,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000086218,Asunción,ASU,,-57.31,-25.14,83,4.5,5.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000086255,Pilar,PIL,,-58.19,-26.53,58,7,8,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
